Data,Chuva -Maria,Nível-Maria
15/02/2020 15:30,,89347
15/02/2020 15:00,0,89347
15/02/2020 14:30,,89347
15/02/2020 14:00,0,89347
15/02/2020 13:30,,89347
15/02/2020 13:00,0,89347
15/02/2020 12:30,,89347
15/02/2020 12:00,0,89347
15/02/2020 11:30,,89347
15/02/2020 11:00,0,89347
15/02/2020 10:30,,89347
15/02/2020 10:00,0,89347
15/02/2020 09:30,,89347
15/02/2020 09:00,0,89347
15/02/2020 08:30,,89347
15/02/2020 08:00,0,89347
15/02/2020 07:30,,89347
15/02/2020 07:00,0,89347
15/02/2020 06:30,,89347
15/02/2020 06:00,0,89347
15/02/2020 05:30,,89347
15/02/2020 05:00,0,89347
15/02/2020 04:30,,89347
15/02/2020 04:00,0,89348
15/02/2020 03:30,,89348
15/02/2020 03:00,0,89348
15/02/2020 02:30,,89348
15/02/2020 02:00,0,89348
15/02/2020 01:30,,89348
15/02/2020 01:00,0,89348
15/02/2020 00:30,,89348
15/02/2020 00:00,0,89348
14/02/2020 23:30,,89349
14/02/2020 23:00,0,89349
14/02/2020 22:30,,89349
14/02/2020 22:00,0,89349
14/02/2020 21:30,,89349
14/02/2020 21:00,0,89349
14/02/2020 20:30,,89349
14/02/2020 20:00,0,89349
14/02/2020 19:30,,89347
14/02/2020 19:00,0,89345
14/02/2020 18:30,,89346
14/02/2020 18:00,0,89346
14/02/2020 17:30,,89346
14/02/2020 17:00,0,89346
14/02/2020 16:30,,89347
14/02/2020 16:00,0,89347
14/02/2020 15:30,,89347
14/02/2020 15:00,0,89347
14/02/2020 14:30,,89347
14/02/2020 14:00,0,89348
14/02/2020 13:30,,89348
14/02/2020 13:00,0,89348
14/02/2020 12:30,,89349
14/02/2020 12:00,0,89348
14/02/2020 11:30,,89344
14/02/2020 11:00,0,89343
14/02/2020 10:30,,89346
14/02/2020 10:00,0,89345
14/02/2020 09:30,,89343
14/02/2020 09:00,0,89343
14/02/2020 08:30,,89343
14/02/2020 08:00,0,89343
14/02/2020 07:30,,89343
14/02/2020 07:00,0,89343
14/02/2020 06:30,,89344
14/02/2020 06:00,0,89344
14/02/2020 05:30,,89344
14/02/2020 05:00,0,89345
14/02/2020 04:30,,89345
14/02/2020 04:00,0,89345
14/02/2020 03:30,,89345
14/02/2020 03:00,0,89344
14/02/2020 02:30,,89344
14/02/2020 02:00,0,89344
14/02/2020 01:30,,89344
14/02/2020 01:00,,89344
14/02/2020 00:30,,89345
13/02/2020 23:30,,89345
13/02/2020 23:00,0,89346
13/02/2020 22:30,,89346
13/02/2020 22:00,0,89347
13/02/2020 21:30,,89347
