Data,Chuva -Maria,Nível-Maria
30/11/2022 08:00,0,89344
30/11/2022 07:00,0,89346
30/11/2022 06:00,0,89347
30/11/2022 05:00,0,89348
30/11/2022 04:00,0,89349
30/11/2022 03:00,0,89346
30/11/2022 02:00,0,89335
30/11/2022 01:00,0,89335
30/11/2022 00:00,0,89336
29/11/2022 23:00,0,89337
29/11/2022 22:00,0,89336
29/11/2022 21:00,0,89335
29/11/2022 20:00,0,89339
29/11/2022 19:00,0,89340
29/11/2022 18:00,0,89339
29/11/2022 17:00,0,89339
29/11/2022 16:00,0,89339
29/11/2022 15:00,0,89340
29/11/2022 14:00,0,89341
29/11/2022 13:00,0,89342
29/11/2022 12:00,0,89338
29/11/2022 11:00,0,89344
29/11/2022 10:00,0,89345
29/11/2022 09:00,0,89346
29/11/2022 08:00,0,89348
29/11/2022 07:00,0,89348
29/11/2022 06:00,0,89349
29/11/2022 05:00,0,89351
29/11/2022 04:00,0,89353
29/11/2022 03:00,0,89357
29/11/2022 02:00,0,89363
29/11/2022 01:00,0,89367
29/11/2022 00:00,0,89346
28/11/2022 23:00,0,89344
28/11/2022 22:00,0,89340
28/11/2022 21:00,0,89337
28/11/2022 20:00,0,89337
28/11/2022 19:00,0,89337
28/11/2022 18:00,0,89332
28/11/2022 17:00,0,89330
28/11/2022 16:00,0,89330
28/11/2022 15:00,0,89330
28/11/2022 14:00,0,89331
28/11/2022 13:00,0,89333
28/11/2022 12:00,0,89333
28/11/2022 11:00,0,89331
28/11/2022 10:00,0,89336
28/11/2022 09:00,0,89336
28/11/2022 08:00,0,89335
28/11/2022 07:00,0,89335
28/11/2022 06:00,0,89335
28/11/2022 05:00,0,89335
28/11/2022 04:00,0,89335
28/11/2022 03:00,0,89335
28/11/2022 02:00,0,89335
28/11/2022 01:00,0,89335
28/11/2022 00:00,0,89335
