Data,Chuva-Itajuba ,Nível-Itajuba
13/02/2020 09:30,0,205
13/02/2020 09:15,0,206
13/02/2020 09:00,0,207
13/02/2020 08:45,0,209
13/02/2020 08:30,0,209
13/02/2020 08:15,0,210
13/02/2020 08:00,0,212
13/02/2020 07:45,0,213
13/02/2020 07:30,0,214
13/02/2020 07:15,0,215
13/02/2020 07:00,0,217
13/02/2020 06:45,0,217
13/02/2020 06:30,0,218
13/02/2020 06:15,0,219
13/02/2020 06:00,0,220
13/02/2020 05:45,0,220
13/02/2020 05:30,0,221
13/02/2020 05:15,0,222
13/02/2020 05:00,0,222
13/02/2020 04:45,0,222
13/02/2020 04:30,0,222
13/02/2020 04:15,0,223
13/02/2020 04:00,0,222
13/02/2020 03:45,0,223
13/02/2020 03:30,0,223
13/02/2020 03:15,0,222
13/02/2020 03:00,0,222
13/02/2020 02:45,0,222
13/02/2020 02:30,0,222
13/02/2020 02:15,0,222
13/02/2020 02:00,0,222
13/02/2020 01:45,0,222
13/02/2020 01:30,0,222
13/02/2020 01:15,0,222
13/02/2020 01:00,0,222
13/02/2020 00:45,0,223
13/02/2020 00:30,0,223
13/02/2020 00:15,0,224
13/02/2020 00:00,0,224
12/02/2020 23:45,0,224
12/02/2020 23:30,0,224
12/02/2020 23:15,0,225
12/02/2020 23:00,0,225
12/02/2020 22:45,0,225
12/02/2020 22:30,0,226
12/02/2020 22:15,0,225
12/02/2020 22:00,0,225
12/02/2020 21:45,0,225
12/02/2020 21:30,0,225
12/02/2020 21:15,0,224
12/02/2020 21:00,0.2,224
12/02/2020 20:45,0,223
12/02/2020 20:30,0,223
12/02/2020 20:15,0,222
12/02/2020 20:00,0,221
12/02/2020 19:45,0,221
12/02/2020 19:30,0,221
12/02/2020 19:15,0,221
12/02/2020 19:00,0,220
12/02/2020 18:45,0,221
12/02/2020 18:30,0,221
12/02/2020 18:15,0,222
12/02/2020 18:00,0,223
12/02/2020 17:45,0,225
12/02/2020 17:30,0,226
12/02/2020 17:15,0,228
12/02/2020 17:00,0,230
12/02/2020 16:45,0,231
12/02/2020 16:30,0,233
12/02/2020 16:15,0,235
12/02/2020 16:00,0,236
12/02/2020 15:45,0.2,238
12/02/2020 15:30,0,239
12/02/2020 15:15,0,240
12/02/2020 15:00,0,241
12/02/2020 14:45,0.2,241
12/02/2020 14:30,0.6,241
12/02/2020 14:15,0.6,241
12/02/2020 14:00,0.8,242
12/02/2020 13:45,2.2,242
12/02/2020 13:30,4,241
12/02/2020 13:15,0,242
12/02/2020 13:00,0,244
12/02/2020 12:45,0,245
12/02/2020 12:30,0,246
12/02/2020 12:15,0,248
12/02/2020 12:00,0,249
12/02/2020 11:45,0,251
12/02/2020 11:30,0,253
12/02/2020 11:15,0,255
12/02/2020 11:00,0,257
12/02/2020 10:45,0,259
12/02/2020 10:30,0,261
12/02/2020 10:15,0,263
12/02/2020 10:00,0,266
12/02/2020 09:45,0,268
